-- Điểm danh cho lớp toán 10
INSERT dbo.DIEMDANH (MaLichHoc, MaHS, DiemDanh)
VALUES
('LH011', 'HS026', N'Có'),
('LH011', 'HS016', N'Có'),
('LH011', 'HS049', N'Có'),
('LH011', 'HS005', N'Có'),
('LH011', 'HS044', N'Có'),
('LH011', 'HS010', N'Có'),
('LH011', 'HS047', N'Có'),
('LH011', 'HS036', N'Có'),
('LH011', 'HS006', N'Có'),
('LH011', 'HS037', N'Có'),
('LH011', 'HS033', N'Có'),
('LH011', 'HS039', N'Có'),
('LH011', 'HS012', N'Có'),
('LH011', 'HS040', N'Có'),
('LH011', 'HS030', N'Có'),
('LH011', 'HS028', N'Có'),
('LH011', 'HS057', N'Có'),
('LH011', 'HS007', N'Có'),
('LH011', 'HS024', N'Có'),
('LH011', 'HS053', N'Có'),
('LH011', 'HS038', N'Có'),
('LH011', 'HS059', N'Có'),
('LH011', 'HS045', N'Có'),
('LH011', 'HS029', N'Có'),
('LH011', 'HS043', N'Có'),
('LH011', 'HS058', N'Có'),
('LH011', 'HS035', N'Có'),
('LH011', 'HS011', N'Có'),
('LH011', 'HS019', N'Có'),
('LH011', 'HS017', N'Có'),

('LH031', 'HS026', N'Có'),
('LH031', 'HS016', N'Có'),
('LH031', 'HS049', N'Có'),
('LH031', 'HS005', N'Có'),
('LH031', 'HS044', N'Có'),
('LH031', 'HS010', N'Có'),
('LH031', 'HS047', N'Có'),
('LH031', 'HS036', N'Có'),
('LH031', 'HS006', N'Có'),
('LH031', 'HS037', N'Có'),
('LH031', 'HS033', N'Có'),
('LH031', 'HS039', N'Có'),
('LH031', 'HS012', N'Có'),
('LH031', 'HS040', N'Có'),
('LH031', 'HS030', N'Có'),
('LH031', 'HS028', N'Có'),
('LH031', 'HS057', N'Có'),
('LH031', 'HS007', N'Có'),
('LH031', 'HS024', N'Có'),
('LH031', 'HS053', N'Có'),
('LH031', 'HS038', N'Có'),
('LH031', 'HS059', N'Có'),
('LH031', 'HS045', N'Có'),
('LH031', 'HS029', N'Có'),
('LH031', 'HS043', N'Có'),
('LH031', 'HS058', N'Có'),
('LH031', 'HS035', N'Có'),
('LH031', 'HS011', N'Có'),
('LH031', 'HS019', N'Có'),
('LH031', 'HS017', N'Có'),

('LH051', 'HS026', N'Có'),
('LH051', 'HS016', N'Có'),
('LH051', 'HS049', N'Có'),
('LH051', 'HS005', N'Có'),
('LH051', 'HS044', N'Có'),
('LH051', 'HS010', N'Có'),
('LH051', 'HS047', N'Có'),
('LH051', 'HS036', N'Có'),
('LH051', 'HS006', N'Có'),
('LH051', 'HS037', N'Có'),
('LH051', 'HS033', N'Có'),
('LH051', 'HS039', N'Có'),
('LH051', 'HS012', N'Có'),
('LH051', 'HS040', N'Có'),
('LH051', 'HS030', N'Có'),
('LH051', 'HS028', N'Có'),
('LH051', 'HS057', N'Có'),
('LH051', 'HS007', N'Có'),
('LH051', 'HS024', N'Có'),
('LH051', 'HS053', N'Có'),
('LH051', 'HS038', N'Có'),
('LH051', 'HS059', N'Có'),
('LH051', 'HS045', N'Có'),
('LH051', 'HS029', N'Có'),
('LH051', 'HS043', N'Có'),
('LH051', 'HS058', N'Có'),
('LH051', 'HS035', N'Có'),
('LH051', 'HS011', N'Có'),
('LH051', 'HS019', N'Có'),
('LH051', 'HS017', N'Có'),

('LH071', 'HS026', N'Có'),
('LH071', 'HS016', N'Có'),
('LH071', 'HS049', N'Có'),
('LH071', 'HS005', N'Có'),
('LH071', 'HS044', N'Có'),
('LH071', 'HS010', N'Có'),
('LH071', 'HS047', N'Có'),
('LH071', 'HS036', N'Có'),
('LH071', 'HS006', N'Có'),
('LH071', 'HS037', N'Có'),
('LH071', 'HS033', N'Có'),
('LH071', 'HS039', N'Có'),
('LH071', 'HS012', N'Có'),
('LH071', 'HS040', N'Có'),
('LH071', 'HS030', N'Có'),
('LH071', 'HS028', N'Có'),
('LH071', 'HS057', N'Có'),
('LH071', 'HS007', N'Có'),
('LH071', 'HS024', N'Có'),
('LH071', 'HS053', N'Có'),
('LH071', 'HS038', N'Có'),
('LH071', 'HS059', N'Có'),
('LH071', 'HS045', N'Có'),
('LH071', 'HS029', N'Có'),
('LH071', 'HS043', N'Có'),
('LH071', 'HS058', N'Có'),
('LH071', 'HS035', N'Có'),
('LH071', 'HS011', N'Có'),
('LH071', 'HS019', N'Có'),
('LH071', 'HS017', N'Có'),

('LH091', 'HS026', N'Có'),
('LH091', 'HS016', N'Có'),
('LH091', 'HS049', N'Có'),
('LH091', 'HS005', N'Có'),
('LH091', 'HS044', N'Có'),
('LH091', 'HS010', N'Có'),
('LH091', 'HS047', N'Có'),
('LH091', 'HS036', N'Có'),
('LH091', 'HS006', N'Có'),
('LH091', 'HS037', N'Có'),
('LH091', 'HS033', N'Có'),
('LH091', 'HS039', N'Có'),
('LH091', 'HS012', N'Có'),
('LH091', 'HS040', N'Có'),
